item_id,nli_raw_gameplay,nli_raw_story,nli_raw_graphics,nli_ctr_gameplay,nli_ctr_story,nli_ctr_graphics,n_reviews,n_plot,n_characters,n_writing
B001HWB68K,0.2239,0.235,0.5287,0.0457,0.0328,-0.0315,77,42,32,10
B001IK1BJ0,0.2227,0.5962,0.6926,-0.156,0.0907,0.1491,32,24,18,4
B001IK5TJI,0.3194,0.5824,0.3481,0.0198,0.1322,-0.1593,32,24,20,9
B001IVXI7C,0.6137,0.5889,0.7826,0.2151,-0.036,0.0738,43,36,17,11
B001JKTC9A,0.7475,0.8406,0.8185,0.1178,0.0826,-0.0207,105,76,60,45
B001NIP3EG,0.8273,0.7648,0.7535,0.3495,0.0576,-0.1515,43,33,21,6
B001NX4DUQ,0.1666,0.307,0.773,-0.1349,0.0888,0.132,30,14,15,6
B001NX6GBK,0.3755,0.55,0.712,-0.049,0.0811,0.1775,71,34,34,20
B001PKHRUK,0.7723,0.4434,0.8896,0.5327,-0.0837,0.0236,20,11,5,3
B001PKHRVE,0.8314,0.1621,0.7255,0.6026,-0.399,0.2978,21,16,5,2
B001QXNBJM,0.8086,0.5406,0.7689,0.5978,-0.0074,0.1636,20,13,5,3
B001QXNBNI,0.4235,0.6383,0.7607,0.0117,0.0227,-0.0593,29,20,12,4
B001REZLY8,0.9374,0.929,0.7216,0.5309,0.1585,-0.1032,25,17,6,5
B001RTCOWA,0.4411,0.3929,0.6704,0.174,0.0044,0.5919,23,16,11,3
B001SGZL2W,0.6669,0.7609,0.8337,0.105,-0.0004,0.0368,65,42,31,12
B001SH7YMG,0.7531,0.66,0.7841,0.2002,0.0735,-0.0297,57,38,37,13
B001TOMQVC,0.5744,0.6905,0.5253,0.0852,0.059,-0.0024,18,15,9,5
B001TOQ8NO,0.2897,-0.1125,,0.1947,-0.2075,,20,4,4,0
B001TOQ8UW,-0.1538,-0.0208,0.1375,0.0165,0.1495,0.1591,20,12,12,3
B001TORSII,0.6997,0.6888,0.7762,0.1338,0.021,-0.0152,58,41,32,13
B001UWGCW2,0.6413,0.7022,0.5202,0.2595,0.122,-0.2473,21,17,11,5
B001YI0Z2U,0.7782,0.5667,0.5988,0.3449,-0.1742,0.0658,24,21,13,9
B0022TNO7I,0.3275,0.4587,0.9181,0.0777,0.1256,-0.0332,61,37,25,5
B0022TNO7S,0.3805,0.4084,0.482,-0.0179,-0.0383,-0.0404,45,28,26,6
B0025KZV7A,0.4307,0.1682,0.8565,0.3642,-0.0534,1.0107,19,10,3,1
B00269DX5W,0.5022,0.727,0.8081,0.0078,0.0856,-0.0802,64,35,24,10
B00269DXCK,0.7652,0.9247,0.8492,0.0307,0.1133,-0.088,42,30,26,13
B00275A7LI,0.4464,0.4769,0.7718,0.2592,0.2116,0.3992,43,22,17,5
B0028IBTLG,-0.0835,0.0149,0.2901,0.0413,0.2021,-0.0092,31,18,12,3
B0029LJIFG,0.967,0.8046,,0.0812,-0.0812,,18,1,1,0
B0029MAXR2,0.7424,0.4347,0.7825,0.2613,-0.092,0.1065,22,10,4,4
B002AB7TX8,0.4234,0.512,0.6994,0.1812,0.0595,0.0428,70,47,20,6
B002BRYIJY,0.382,0.5301,0.4834,-0.0812,0.1265,-0.034,20,14,14,6
B002BRZ6UE,0.6614,0.3862,0.6998,0.3315,-0.0928,0.25,37,24,13,7
B002BRZ744,0.4908,0.2682,0.8722,0.2479,-0.0196,-0.0652,18,11,6,2
B002BRZ7JE,0.4773,0.9067,-0.4888,0.3568,0.4247,-0.9833,19,12,3,1
B002BRZ852,0.573,0.5408,0.3939,0.4581,0.0457,0.368,49,32,9,4
B002BRZ8BQ,0.2868,-0.0067,-0.136,0.3664,0.1721,0.1103,17,8,8,3
B002BRZ8FW,0.831,0.423,0.8157,0.4755,-0.1595,-0.0849,24,18,8,3
B002BRZ9G0,0.4521,0.7798,0.5414,0.3106,-0.0649,-0.2177,48,36,5,2
B002BSA1C6,0.2913,0.0685,0.2022,0.221,-0.0305,0.047,34,21,7,3
B002BSA1MQ,0.4165,0.1723,0.7472,0.1325,-0.0645,0.0802,36,25,22,7
B002BSA20M,0.3693,0.3737,0.7092,0.1758,0.0799,-0.0545,54,37,21,11
B002BSA388,0.7388,0.6705,0.7786,0.3319,-0.0336,0.022,41,22,9,7
B002BSC4ZS,0.3197,-0.0095,0.4546,0.0869,-0.1838,0.043,49,35,23,13
B002BSC54I,0.588,0.5938,0.8322,0.2188,0.0707,-0.0594,22,17,12,2
B002BSC55M,-0.1104,0.0345,0.6843,-0.0354,0.0746,0.779,21,5,7,1
B002CZ38KA,0.4621,0.6697,0.8053,-0.0319,0.1219,0.0636,75,51,46,16
B002DC8GKE,-0.7005,-0.6746,-0.5398,-0.2361,0.0347,0.1393,23,17,9,5
B002ELCUUG,0.6395,0.2463,0.7538,0.4614,-0.1868,0.8274,24,15,6,1
B002ELCV00,0.0234,-0.9337,0.1291,0.2476,-0.2532,0.0912,20,8,4,2
B002I0EMBI,0.4611,0.2341,0.8686,0.3289,0.0146,-0.0588,20,15,5,4
B002I0F5M8,0.7019,0.6773,0.6355,0.2441,0.0428,-0.0502,55,36,25,9
B002I0GZ5Y,0.7926,0.665,0.7906,0.1789,0.152,0.0552,23,11,13,5
B002I0H79C,0.6887,0.4695,0.8133,0.2479,-0.0211,0.0569,87,44,34,13
B002I0HBZW,0.091,0.1954,0.4186,-0.0182,0.0434,0.1387,42,32,22,9
B002I0IVC4,0.9041,0.8281,0.8357,0.6023,0.2227,-0.0673,23,12,3,2
B002I0J6DC,0.492,0.722,0.7078,0.1466,0.0661,0.0021,56,37,18,14
B002MED6EO,0.8003,-0.0297,,0.6599,-0.4511,,23,12,4,0
B002NN7AKU,0.8137,0.8119,0.6275,0.2926,0.2324,-0.0642,61,33,22,16
B002TDIEEK,0.5045,-0.8351,0.8862,0.493,0.0145,-0.0547,22,8,1,1
B00309U0M6,0.3977,0.5991,0.8107,0.1258,0.1325,0.1418,40,22,13,6
B00309XHD0,0.8536,0.7348,0.8827,0.2946,0.0141,0.0381,60,35,27,12
B0030F1DOO,0.3617,0.0933,0.7565,0.1459,-0.1421,-0.1226,22,12,11,3
B0030GBU2I,0.4636,0.7334,0.7401,0.0569,0.1342,0.0515,27,13,9,5
B00319DX4M,0.5902,0.7771,0.8086,-0.032,0.1278,-0.1029,40,24,23,4
B00320JAWY,0.6067,0.7613,0.8836,0.0593,0.2139,0.1621,22,11,11,3
B0037LTTRO,0.4383,0.2868,0.885,0.2491,0.0051,-0.0416,30,26,11,4
B003NSLGW2,0.9183,0.7375,,0.3845,0.2705,,33,7,8,0
B003O680ZY,0.6509,-0.9715,0.8067,0.5797,-0.7959,0.1509,19,14,4,3
B003O6E3C8,0.838,0.8571,0.3959,0.3455,-0.0047,-0.105,25,21,12,4
B003O6E67A,0.7199,0.5593,0.5769,0.2532,-0.0261,-0.0747,57,34,24,7
B003O6EATE,0.6507,0.5899,0.9005,0.244,0.0048,0.4437,22,8,4,2
B003O6EB70,0.3671,0.5467,0.8399,-0.0583,0.009,-0.0548,51,34,27,9
B003O6ECOM,0.2283,-0.2136,0.8526,0.1166,-0.3323,0.7691,20,5,4,1
B003O6JJKY,0.8652,0.6031,,0.5618,0.5331,,22,3,13,0
B003PHLT8W,0.87,0.0625,0.8255,0.5265,-0.3792,-0.0393,27,18,14,4
B003Q53VZC,-0.1028,0.0216,0.3741,-0.0946,0.0817,0.0697,27,22,18,7
B003QX4F7C,0.7048,0.5409,,0.1136,0.1468,,15,8,12,0
B003R7H5TC,0.5553,0.7749,0.8079,0.1249,0.0213,0.102,36,20,8,7
B003VUO6H4,0.6601,0.4059,0.6998,0.2419,0.0101,-0.0949,39,18,17,2
B003ZHMMEM,0.502,0.8094,0.8078,0.2378,-0.071,0.047,44,30,6,7
B003ZSP0WW,0.9052,0.6791,,0.1745,0.1311,,32,6,8,0
B00432O50W,0.7174,0.5998,,0.2852,0.0595,,17,10,8,0
B0045ZIEPY,0.4533,0.6407,,0.1011,0.2533,,23,11,10,0
B0047TG2R0,0.1527,0.0129,0.8544,0.0913,-0.0946,-0.0153,23,14,8,3
B0047TLIBU,0.2422,0.2688,0.1119,0.1478,0.1123,0.3165,29,14,14,3
B004CD9X2C,0.6421,0.5453,0.844,0.2925,0.0209,-0.0882,15,12,8,3
B004CDBP9G,0.2092,0.0767,0.0368,0.2366,0.2046,0.0403,27,18,9,6
B004EDJOYC,0.9385,-0.9245,0.8071,0.5754,-0.9556,-0.0851,20,5,1,2
B004EW948E,0.93,0.9256,0.7695,0.16,0.2239,-0.1088,22,14,14,7
B004FS8LYK,0.7564,0.7411,0.8567,0.2174,0.0513,0.0437,81,56,40,18
B004FUI84G,0.6169,0.5312,,0.4288,0.1551,,19,10,5,0
B004J6I0YO,-0.2191,-0.2223,0.9598,-0.0522,0.0559,0.0506,19,5,3,1
B004NRN5DU,0.1725,0.8191,0.0962,0.0594,0.4261,0.1174,23,15,5,4
B004PAGJOC,0.3048,0.0743,0.1842,0.1486,-0.1126,0.0235,36,22,14,5
B004RMK57U,,-0.0848,,,-0.0848,,27,0,2,0
B004UDB9SA,0.2906,0.1641,0.4936,0.2589,0.164,-0.0616,41,18,12,5
B004UDLRMS,-0.6583,-0.3972,0.9556,-0.5378,-0.1862,-0.0189,15,7,4,1
B004WLRQMI,0.7694,0.7436,0.3724,0.2627,0.2151,-0.3109,20,13,11,4
B004X56PWK,0.6672,0.5945,0.1956,0.2731,-0.081,0.1913,19,12,7,2
B004XV6ST4,0.6004,0.7952,,-0.1521,0.6279,,16,2,9,0
B004YVOCV4,0.9318,0.6302,0.8404,0.239,-0.0626,-0.0919,33,12,12,5
B004YVOCYG,0.1026,0.1507,,-0.0265,0.0216,,22,7,7,0
B00503E8S2,0.1344,0.0976,0.0855,0.1016,-0.0254,0.2038,67,37,24,7
B0050SVLI2,0.9559,0.7842,0.8467,0.4348,0.1523,0.1638,29,15,11,4
B0050SVNZ8,,0.846,,,0.846,,22,0,6,0
B0050SW2NA,0.7905,0.9133,0.8001,0.2891,0.1568,-0.0984,22,11,5,3
B0050SW8OS,0.7648,0.6781,0.7846,0.1798,0.0398,0.0465,53,30,24,19
B0050SW93S,0.8024,0.5305,0.8405,0.3929,-0.0837,0.1963,24,15,10,5
B0050SWSQQ,-0.0948,0.0498,-0.1412,0.0605,0.2679,0.4262,26,13,8,2
B0050SWUTQ,0.3283,0.0643,0.8262,0.2143,-0.0754,0.1441,48,27,21,9
B0050SWYTC,0.5922,0.4591,0.8439,0.1941,-0.0958,0.179,28,18,8,7
B0050SWZHS,0.5851,0.425,,0.4083,-0.017,,27,10,4,0
B0050SX0UY,0.9278,0.896,0.8605,0.3515,-0.0337,-0.0514,21,16,8,5
B0050SX3KG,0.9003,,0.7821,0.8196,,-0.1059,18,11,0,1
B0050SX7BQ,0.2472,0.4458,0.8462,-0.1084,0.0111,0.1463,60,33,26,8
B0050SX97I,0.8104,0.6991,0.8578,0.4108,-0.0094,-0.0644,28,12,8,2
B0050SX9VO,0.7512,0.6427,0.7652,0.4025,-0.0402,-0.103,34,24,11,3
B0050SXCQ6,0.7207,0.4211,,0.3341,-0.0514,,21,11,9,0
B0050SXGU8,0.537,0.3534,0.3574,0.2841,-0.1524,0.0534,33,20,11,7
B0050SXI6K,0.894,0.8671,0.752,0.4291,0.3629,-0.0852,37,16,5,7
B0050SXLQC,0.2016,0.2506,0.2974,0.1413,0.0925,0.0492,73,39,20,3
B0050SXU3Q,0.897,0.7068,0.7859,0.38,0.0194,0.0202,38,22,14,8
B0050SXVK8,0.5923,0.5169,0.6944,0.3448,0.1208,0.0893,34,16,10,4
B0050SXX88,0.4042,0.823,0.8932,0.2173,0.2623,-0.0682,31,15,5,1
B0050SY4DG,-0.0599,-0.0812,0.0425,0.0142,-0.018,0.0344,43,28,20,6
B0050SY5BM,0.0275,0.0288,0.4514,-0.0599,-0.1508,0.1833,26,10,10,4
B0050SY77E,0.5015,0.2745,0.1841,0.3226,-0.0138,0.0619,29,19,12,8
B0050SYILE,0.8915,0.9192,0.8255,0.1735,0.3608,-0.015,24,5,5,2
B0050SYV70,0.6186,0.5994,0.9013,0.1895,0.02,0.1293,52,32,22,6
B0050SYX8W,0.5718,0.4578,0.7179,0.0997,-0.1047,0.035,80,51,38,23
B0050SYY5E,0.7199,0.7394,0.7778,0.2487,0.0361,-0.0042,43,28,17,10
B005185SDA,0.3268,-0.1462,0.8438,0.2679,-0.1229,-0.0123,19,13,9,2
B0053B5RGI,0.938,0.9131,0.7666,0.589,-0.0253,-0.1171,28,13,3,3
B0053B66KE,0.8022,0.4066,0.4431,0.5462,-0.1055,0.0185,29,12,6,3
B0053B7ICO,0.6691,0.0695,0.9653,0.5389,-0.4164,-0.0153,20,15,2,1
B0053BCMAC,0.329,-0.7647,0.7675,0.4365,-0.3185,0.1684,25,13,5,2
B0053BCML6,0.7333,0.6428,0.8194,0.4269,0.03,-0.0419,34,18,9,2
B0053BCO00,0.7282,0.1722,0.8788,0.6463,-0.1764,0.399,55,33,5,2
B0053BCP40,0.6998,0.523,0.8409,0.2515,-0.0463,0.0592,37,23,16,7
B0053OLY9O,0.8707,0.8327,,0.2008,0.3542,,32,10,14,0
B005C2D2MO,0.4594,0.7168,0.3762,0.0587,0.1008,-0.219,50,38,17,14
B005C7R950,0.6711,0.806,0.9055,0.4059,0.5012,-0.0365,17,7,3,1
B005FYJA52,0.8309,0.8692,0.8335,0.2967,0.0801,-0.0659,23,12,7,3
B005JB84GM,0.9019,0.8277,,0.5396,0.4653,,22,5,5,0
B005LBDOLA,-0.6732,0.6234,,-0.6732,0.6234,,19,1,6,0
B005N4HBE6,0.5901,0.7261,0.9576,0.1005,0.1141,-0.0255,17,10,8,1
B005THAX5Q,-0.2516,-0.4779,-0.5768,0.0447,-0.1548,-0.0249,22,16,9,7
B005THAX6K,-0.2024,0.3752,0.2589,-0.1813,0.3855,0.0154,21,11,8,3
B005VBVQDI,0.3503,0.7858,,0.0839,0.253,,24,10,5,0
B005YR308S,0.667,0.9588,0.7803,-0.0301,0.2254,-0.0872,28,17,15,4
B0065NP6NC,0.9451,0.9752,,0.4553,0.1588,,18,10,6,0
B006GHA8EE,0.564,0.4763,0.4946,0.0607,0.0261,-0.185,27,20,17,9
B006IOAHTQ,0.9429,0.8261,0.8286,0.255,0.0958,0.0061,21,12,12,5
B006JKARN0,0.2876,0.4173,0.7137,0.1575,0.3106,0.0447,18,6,5,2
B006JKASAC,,0.3152,,,0.3152,,31,0,3,0
B006JKASCK,,0.2068,,,0.2068,,24,0,5,0
B006OI3CTS,0.545,0.567,,0.1332,0.1551,,16,6,6,0
B006PP404Q,,0.6489,,,0.6489,,25,0,8,0
B006QRNKOO,0.1864,0.4782,-0.793,0.0286,0.1626,-1.0494,21,10,5,2
B006YDPU48,0.3741,0.7134,0.8938,0.0424,-0.1408,0.0016,22,16,4,3
B006ZTHFPS,0.6621,0.7776,,0.222,0.306,,46,15,14,0
B0074LJ3CE,0.7183,0.8867,0.0777,0.3389,0.3798,-0.2986,19,10,6,2
B0076ZPYPI,0.6583,0.8369,0.3549,0.1174,0.0856,-0.3861,32,25,18,4
B007BJNR6C,0.2539,0.2446,0.7248,0.1819,0.2357,-0.1551,26,14,14,2
B007CSF3GO,0.672,0.9785,0.8265,0.129,0.0476,-0.0896,18,12,7,5
B007WQOIGW,0.371,0.5957,0.7707,0.0292,0.2228,-0.0182,15,12,11,3
B007XVTR3K,-0.0683,0.4751,,-0.144,0.229,,23,13,4,0
B0085L2T0A,0.643,0.8312,,0.5045,0.508,,16,7,3,0
B00946FSIA,0.1015,0.2992,-0.8471,0.0368,0.2216,0.0967,29,18,15,1
B0094X2066,0.9379,-0.5605,,0.9379,-0.5605,,26,2,1,0
B0094X227I,0.8801,0.7925,,0.7545,0.5413,,35,6,3,0
B009AGXH64,0.5472,0.3248,0.6082,0.275,-0.0661,-0.0445,45,25,17,6
B009EWHKAI,0.8474,0.262,-0.813,0.7537,0.2447,0.0721,23,10,3,1
B00AKIPBNS,0.5311,0.5466,0.5202,0.2382,-0.0649,0.0442,25,21,10,6
B00B67ZTUW,0.7885,0.514,0.819,0.0354,-0.0553,-0.039,20,8,12,3
B00BGA9V2Q,0.84,0.8928,0.2042,0.779,0.0454,-0.0802,22,14,1,3
B00BGA9WK2,0.4776,0.1486,0.7866,0.1592,0.0423,-0.0585,49,8,8,3
B00BGA9X9W,0.7651,0.7162,,0.7651,0.7162,,24,1,2,0
B00BGA9Y3W,-0.075,-0.5037,0.4025,0.1073,-0.1705,0.2218,100,62,36,13
B00BGA9YZK,0.2422,0.1615,0.7878,0.1002,-0.0202,0.116,112,55,37,16
B00BGA9ZZ4,-0.0245,-0.486,0.7605,-0.0637,0.0247,0.2773,31,16,4,7
B00BGAA0SU,0.7165,0.6815,0.8368,0.1776,0.0186,0.0776,65,43,28,22
B00BGAA29M,0.5703,0.2348,0.59,0.3498,-0.2051,0.1661,55,29,14,7
B00BGAA3S2,0.4025,0.704,-0.4453,0.1417,0.519,-0.6551,53,7,11,1
B00BI83EVU,0.3658,0.1667,0.6673,0.1642,-0.1056,0.1793,103,50,34,12
B00BMFIXKQ,0.8439,0.8126,0.8183,0.2062,0.0286,-0.0548,61,28,23,4
B00BMFIXOW,0.6172,0.4549,0.7904,0.1999,-0.0806,0.0006,85,43,27,9
B00BMFIXT2,0.7687,0.6662,0.8178,0.3003,-0.0071,-0.1017,36,23,16,5
B00BQI3UQG,0.6299,0.8826,0.8827,0.2448,-0.0205,-0.027,18,12,3,4
B00BRQN2EM,0.5282,0.5795,0.7663,0.2578,0.1098,-0.0562,20,15,7,4
B00BU3ZLJQ,0.4938,0.0031,-0.517,0.5679,0.1697,0.1361,22,9,4,1
B00C27SCC2,0.1152,-0.1104,0.6625,0.075,-0.1616,0.0584,42,18,16,8
B00C71034I,0.1557,0.1179,0.8447,0.0275,-0.0195,0.2486,34,15,14,3
B00C7103C0,0.4188,0.8389,0.7732,0.1784,0.1712,0.3563,18,11,4,2
B00C7103DO,0.3739,0.712,0.5237,0.0355,0.2137,-0.0464,59,27,20,7
B00CJ7IUI6,0.2872,-0.3345,,0.4475,-0.014,,19,6,3,0
B00CMQTTZ2,0.2384,0.2987,0.5158,0.0028,0.052,0.0829,37,22,18,5
B00CMQTU74,0.2025,0.5246,0.6081,-0.0722,0.0941,0.206,38,25,16,16
B00CMQTUSS,0.4988,0.4041,0.7941,0.2018,0.1666,-0.0722,48,12,15,1
B00CMQTVUA,0.5772,0.2726,0.6015,0.0996,-0.1381,-0.1341,43,21,22,7
B00CRL9TU2,0.4707,-0.039,0.7771,0.2073,-0.1441,-0.0683,19,12,6,4
B00CTKHXFO,0.9562,0.4489,,0.4943,-0.013,,24,4,4,0
B00CX6XKK6,-0.1481,0.3603,-0.0111,-0.2286,0.3207,0.0084,37,17,12,2
B00CX8VY4S,-0.1194,-0.0517,-0.0727,0.0323,0.1279,0.313,37,19,11,2
B00CX9T598,0.128,-0.2272,0.727,0.1093,-0.2632,0.9174,28,16,10,2
B00CXCCB64,0.2625,-0.1263,0.2919,0.194,-0.3004,0.168,35,18,4,4
B00CYNTHA0,0.1391,0.1489,0.8255,0.0687,0.0272,-0.057,27,19,11,2
B00D2ZK1IG,0.2855,0.1921,0.5937,0.1905,0.0274,0.3492,54,38,18,9
B00D2ZK2MQ,0.7238,0.8905,0.8145,0.2211,-0.0143,-0.0682,15,9,5,1
B00D3RBZHY,0.2123,-0.3346,0.8503,0.2044,0.0401,0.2971,39,18,7,5
B00D41GCVS,0.3313,-0.9697,0.8841,0.2104,-0.4836,-0.0043,20,14,2,3
B00D4WTO1M,0.0229,0.0642,0.3798,0.0444,0.07,0.1148,79,45,19,7
B00DB84XQK,0.8254,0.9333,0.9402,0.3426,0.0751,-0.0309,23,16,9,3
B00DB9JV5W,0.0773,-0.3341,0.8475,0.0796,-0.0775,-0.0549,21,14,7,3
B00DB9JYFY,0.5442,-0.0856,0.805,0.4287,-0.2455,0.2367,82,49,19,8
B00DBDPOZ4,,0.0478,,,0.0478,,37,0,6,0
B00DBF829C,-0.3008,0.2709,0.7658,-0.5243,0.0397,0.3609,10,3,3,2
B00DBLBMBQ,0.3179,0.5591,0.827,-0.0558,0.1014,0.1502,67,38,34,18
B00DBM1RVA,0.6729,0.6674,0.8748,0.48,0.1305,-0.0326,47,29,7,3
B00DBRM3G8,0.413,0.1975,0.8023,0.2241,-0.1216,0.2443,29,18,5,3
B00DC7G0GG,0.7288,0.8822,0.8371,0.4404,-0.0605,-0.0633,64,35,5,8
B00DC7G1WE,0.9672,0.3579,0.8374,0.5722,-0.3046,-0.0717,29,14,7,3
B00DC7G2W8,0.7276,0.7787,0.8678,0.3216,0.0628,-0.0287,72,45,6,20
B00DC7O77A,0.6507,0.452,0.5906,0.4451,0.252,0.0917,40,26,5,7
B00DD0B0BM,0.6953,0.295,0.538,0.5799,-0.1023,0.1135,46,24,9,6
B00DD0B1R0,0.6219,0.7934,0.7556,0.4642,-0.0919,0.149,45,21,1,4
B00DDXILBQ,0.2056,-0.2208,0.8609,0.2122,-0.0117,-0.0672,22,18,5,1
B00DEL3IIS,0.364,0.081,0.3215,0.2774,-0.0271,-0.0041,46,25,11,3
B00DHF39HQ,0.0536,0.4217,0.9519,-0.0884,-0.0396,-0.0223,21,13,4,1
B00DHF39L2,0.771,0.7292,0.8456,0.13,-0.0382,-0.0796,32,22,16,8
B00DHF3A4S,0.4128,0.2293,0.3377,0.2928,0.0153,0.1465,25,15,8,3
B00DHF3BZQ,0.1072,0.0624,0.0941,0.0027,-0.0304,0.0852,59,25,19,6
B00DS0MQUQ,0.4462,-0.1657,0.8674,0.3576,-0.2789,0.0153,50,23,18,3
B00DUARBTA,0.4055,0.558,0.8692,0.1124,0.1608,0.1483,24,10,5,4
B00DV16N6U,0.6332,0.6708,0.9306,0.2052,0.1261,-0.0124,33,14,11,2
B00EFFVZP0,0.0554,0.5493,0.2123,-0.105,0.2607,0.1334,31,18,10,2
B00EFFW0HC,0.4267,0.4385,0.1688,0.3628,0.4785,-0.2823,27,11,5,2
B00ENFVJJO,0.9908,0.9028,,0.0026,0.8268,,31,1,13,0
B00EZPCX1A,0.857,0.7289,,0.3271,0.199,,17,7,7,0
B00F27JGVA,,0.4716,,,0.4716,,24,0,4,0
B00FM5IY0Q,0.7821,0.4934,0.5851,0.416,-0.1049,-0.1053,48,36,18,10
B00FM5IY38,0.203,0.675,0.8158,-0.1762,0.0548,0.1771,33,17,9,7
B00FM5IY4W,0.7448,0.2019,0.7499,0.4555,-0.2399,0.099,18,9,2,4
B00G0OYHCW,0.9107,0.645,0.8151,0.3954,0.0724,-0.0627,22,10,9,1
B00G6MW540,0.7499,0.4493,0.8277,0.4657,-0.1176,0.1287,26,14,5,3
B00GANWVJE,0.8396,0.8075,0.8391,0.3814,0.1066,-0.064,47,26,17,3
B00GGUQDLS,0.8364,0.4519,0.8765,0.4344,-0.224,-0.0562,20,14,7,2
B00GGUT7E8,0.657,0.9129,0.8091,-0.0397,0.101,0.0675,37,24,20,12
B00GLZQR96,0.7074,0.3169,0.8691,0.5572,-0.1605,-0.0714,35,25,6,3
B00GMFKYJ4,0.5692,0.1383,0.8281,0.3694,-0.0394,0.4101,32,21,13,5
B00GMFKYK8,0.5227,0.3289,0.7718,0.3189,-0.0309,-0.0016,79,47,24,6
B00GODZYNA,0.6994,0.7051,0.7731,0.1579,0.1296,0.0598,100,47,47,25
B00GZ1GUNO,0.7998,0.9456,0.8426,0.2995,0.2642,0.0802,30,15,11,6
B00GZ1GUSY,0.7189,0.5015,0.7067,0.3771,-0.0271,0.0737,90,53,29,12
B00H5V9S6E,0.9187,0.8168,0.5671,0.6014,-0.0558,-0.2058,19,11,4,1
B00HD4R5YU,0.3829,0.2354,0.781,0.2318,-0.0128,0.2648,46,23,14,6
B00HGLLRV2,0.5354,0.5223,0.8712,0.1284,0.0491,-0.0441,81,39,33,9
B00HKCIT0O,-0.5417,-0.8496,0.9223,-0.3954,-0.0923,-0.0332,27,18,6,2
B00I19TXNC,0.1686,0.3628,0.6013,-0.158,-0.027,0.1303,23,14,7,6
B00I19TYW2,0.3576,0.5177,0.7697,-0.0022,0.0219,0.0892,34,20,11,8
B00I5LMSE2,0.7284,0.0254,0.8881,0.4746,0.0409,-0.0529,17,11,2,3
B00IAVDOS6,0.7002,0.5073,,0.7002,0.5073,,20,1,6,0
B00IKQDULC,0.1426,0.1646,0.8628,-0.1888,-0.0943,0.0011,22,8,7,3
B00IQCRKW0,0.0642,0.2689,0.0747,-0.07,0.0676,0.0277,20,15,10,2
B00J48MUS4,-0.1819,-0.1971,0.4709,-0.0848,0.06,0.2615,85,41,20,6
B00JAPIXX2,0.7912,0.8032,0.122,0.1826,0.0932,0.0043,20,14,12,2
B00JK00S0S,0.6488,0.7494,0.6943,0.0698,0.151,-0.0259,130,69,65,27
B00JKM06HG,0.4917,-0.114,0.7413,0.3636,-0.2358,0.1598,67,35,22,7
B00JUFT1F6,0.2738,0.3977,0.4113,0.0066,0.0805,-0.0193,50,24,22,7
B00JUFT1G0,0.345,0.2216,0.5494,0.132,0.029,0.0218,20,12,7,4
B00K31C478,0.3139,0.6948,0.2494,-0.0504,0.271,-0.3245,25,11,9,2
B00K848IH0,0.7992,0.8135,0.3192,0.5103,0.0158,-0.1867,25,9,4,3
B00KAED7OC,0.1761,-0.1359,0.8001,0.113,0.0873,-0.0705,24,15,7,4
B00KAED850,0.5552,0.2111,0.6662,0.2338,-0.0671,0.0194,80,43,26,16
B00KDJJL8A,0.0587,-0.1584,0.4572,0.1296,-0.1443,0.1517,20,15,12,4
B00KF7BE7G,0.7501,0.969,0.379,0.2797,0.1655,-0.081,21,10,7,4
B00KF7BEFS,0.9369,0.8416,,0.6239,0.2157,,16,6,3,0
B00KI2OZ9M,0.7967,0.5925,0.8085,0.3932,0.0687,0.0466,19,10,6,4
B00KME8K7O,0.2545,0.3321,0.8486,0.0308,0.105,-0.0045,27,18,14,3
B00KME8K9C,0.3313,0.0846,0.5798,0.1582,-0.3253,0.2503,17,10,4,2
B00KO97D8E,0.1622,0.0544,-0.6717,0.0247,-0.1545,0.0174,20,12,6,2
B00KOOUVNI,0.7746,0.3351,0.7235,0.3537,-0.0124,0.0201,30,12,13,2
B00KSQHX1K,0.0146,0.3796,0.7752,-0.1681,0.0454,0.0559,68,41,15,8
B00KVHSNB0,0.5677,-0.7575,,0.6766,-0.3764,,11,7,2,0
B00KVMHSUM,0.2481,0.4978,-0.725,0.2302,0.4728,-0.9103,19,7,5,1
B00KVQYJR8,0.9395,0.9141,,0.7019,-0.0363,,19,8,2,0
B00KVR4HEC,0.2834,0.3826,0.5753,0.1405,-0.0007,0.0499,96,68,16,11
B00KVRNIQU,0.6578,0.661,0.8768,0.1799,0.0582,0.0682,42,27,21,11
B00KVSQ848,0.6842,0.6465,0.9106,0.3111,0.0248,0.0474,42,20,12,2
B00KVSQAGO,0.3399,0.8562,0.755,-0.1647,0.1071,0.0299,17,10,6,2
B00KWEHBAG,0.7167,0.5355,0.7767,0.4268,-0.0919,-0.1034,32,18,7,2
B00KWF366S,0.9384,0.718,0.9189,0.606,-0.1323,-0.0321,21,14,1,4
B00KWF38AW,0.9451,0.4826,0.8226,0.6198,-0.0044,-0.058,23,14,4,4
B00KWFCSB2,0.7648,-0.1953,,0.7462,-0.2632,,23,11,3,0
B00KWFCU4M,0.6766,0.9816,0.325,0.3606,0.0022,-0.2126,15,11,3,1
B00KWFCV32,0.6903,0.4909,0.8129,0.3994,0.0942,0.8129,28,15,11,1
B00KWG4HG0,0.6113,-0.8896,0.8283,0.6143,-0.4226,0.3703,15,6,2,2
